username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Caleb Summerfield,1550208831476510720,"Seattle, WA",2023-01-22 04:17:47,"@JasonWolf Rent free I see, don’t worry we will be there next Sunday to remind you",0,Twitter for iPhone,
Hannah!,714836167,"Seattle, WA",2023-01-22 03:34:18,Whopper whopper whopper whopper junior double triple whopper living rent free in all of our brains,0,Twitter for iPhone,
Cataztrophe,4365915614,"Seattle, WA",2023-01-22 03:17:39,My rent went from potentially going up $300 to only going up $100 if I renew early to staying the same if I renew early. 😎🤝,0,Twitter for iPhone,
Discreet36000,17702986,"Seattle, WA",2023-01-22 03:10:23,"...elon musk's twitter sell/auctioning off espresso makers, computers, &amp;etc to pay sf offices rent... 
https://t.co/ZuzbHZIwBa",0,Twitter for Android,
Discreet36000,17702986,"Seattle, WA",2023-01-22 03:10:23,"...""elon musk's twitter selling/auctioning off espresso makers, computers, etc... to pay the rent in s/f offices,""… https://t.co/EIp2lGmUnh",0,Twitter for Android,
Jaymie,24415799,seattle:),2023-01-22 02:54:46,The full circle moment - i saw @JinkxMonsoon in Rent at the 5th Ave before she was on drag race - and to get to see… https://t.co/xcr9XLHCIl,0,Twitter for iPhone,
deplorablecarpenter,814885695864963073,"Seattle, WA",2023-01-22 02:27:04,@bakedalaska @BillyCardano This response is low rent. You’re no better than the vax freaks that you oppose.,0,Twitter for iPhone,
Kristine Nicole Speer 🇺🇸,1504584828036997126,"Seattle, WA",2023-01-22 01:35:23,"Screw that. I was going to rent a movie this weekend. The news is free and way funnier, though!
I freaking love thi… https://t.co/JdVhsDvnrI",0,Twitter for Android,
poolD321,1348814798973136897,"Seattle, WA",2023-01-22 01:35:08,"@breyershooligan @KING5Seattle Nonetheless it was beyond irresponsible, there’s that.

$50,000 per month paid to th… https://t.co/1Ldb7VFBPM",0,Twitter for iPhone,
krista,716600304,"Seattle, WA",2023-01-22 01:00:25,with rent being $2500 🫠 it’s wild out here https://t.co/MeUbo0rtqr,0,Twitter for iPhone,
Daniel Koch,881546238134374400,"Seattle, WA",2023-01-22 00:56:31,"@BrandonLBradfor I once asked a landlord who brought up the pet rent fee ""and what amenities will my cats have avai… https://t.co/aNxrKKghgO",0,Twitter for Android,
Busiris,62105115,"Seattle, WA",2023-01-22 00:44:21,"Both myself and @Neekko when we go out to rent movies: ""Oh our watchlist is shrinking, I'm not sure I have many thi… https://t.co/2m9xhMyJ1m",0,Twitter for Android,
Brett Hamil,27712354,Seattle,2023-01-22 00:37:23,"ACTION ITEM: sign in ""pro"" to support rent stabilization! https://t.co/97wk3RJ640",4,Twitter Web App,
JustJeff,1546846350175772683,"Seattle, WA",2023-01-22 00:25:28,@nathaliejacoby1 @RepSwalwell Full disclosure: I left home at 16.  There were 4 of us living in a 1 bedroom apt - r… https://t.co/V3WSm3FNaf,0,Twitter for Android,
JustJeff,1546846350175772683,"Seattle, WA",2023-01-22 00:16:08,"@nathaliejacoby1 @RepSwalwell It paid my car insurance, rent, beer &amp; food. At 17 that's pretty much all you need 😉 https://t.co/o5cA6rBGdm",0,Twitter for Android,
William,1246571858054410240,"Seattle, WA",2023-01-22 00:10:12,@itzybitzyminnie Living rent free 🤣,0,Twitter for Android,
Devin Glaser,47781970,Seattle,2023-01-22 00:08:44,"Have you been impacted by a large rent increase? (You're not alone.) 
I am regularly contacted by tenants who have… https://t.co/v2O9RGmIna",1,Twitter Web App,
Devin Glaser,47781970,Seattle,2023-01-22 00:08:43,"There are two bills that would limit rent increases between 3% to 7% annually getting hearings this Tuesday. 
You c… https://t.co/6N3fBJFPEf",1,Twitter Web App,
Devin Glaser,47781970,Seattle,2023-01-22 00:08:43,"RENT STABILIZATION has a very real chance of being passed in WA this session!
As someone who grew up here, I am sic… https://t.co/ycxVLYqFUM",13,Twitter Web App,
