username,userid,profile_location,created_at,text,retweet_count,source,coordinates
The Salty Skipper CAPT O-6,1549559582803955714,Under the Sea,2023-01-22 00:06:07,@CharlieAssface @AMC_Apee @CNN @elonmusk @CGasparino Dude is occupying a lot of your consciousness.  Are you chargi… https://t.co/iAZs1OVIKE,0,Twitter for iPhone,
GNCordova,316930595,SEA,2023-01-21 23:30:04,"@maplebeanz Exactly. Massive, prime locations that require more than just rent costs to run.",0,Twitter for iPhone,
"Lex, king of monsters",1088043097,"Seattle, WA",2023-01-21 23:07:32,@Adabear_Art depending on state laws you may not be legally required to pay rent until utilities are working,0,Twitter for iPhone,
Phogoth the Untamed,2887178202,"Seattle, WA",2023-01-21 21:30:05,@Mr_Jimmylee @NoLieWithBTC Snap recipients aren't just the poor... They're working full time jobs in a world where… https://t.co/StSuz4BvOc,2,Twitter for Android,
ItsJJron,431888650,"Seattle, WA",2023-01-21 21:26:34,@RockChalkBlog Rent hella free these days,0,Twitter for Android,
Rick Olague,2560559779,"Newcastle, WA",2023-01-21 20:56:40,"@selhorn @chasreidy @CMSaraNelson fair is typically paying for what you get, not what you can afford-businesses pro… https://t.co/F73a8QWvVD",0,Twitter for iPhone,
Jay,2751458627,"Seattle, WA",2023-01-21 20:31:43,"Gaslighting at its finest.

People only care about what they see when they go to the store or gas station, or pay r… https://t.co/KIzKAS58xY",0,Twitter for iPhone,
Luni Libes,6030862,"Bainbridge Island, WA",2023-01-21 20:25:50,@unmariuss @JuniorMinton @paulkrugman I didn’t miss that point.  @paulkrugman missed the point that the inflation t… https://t.co/CAY5xxTV3r,0,Twitter for iPad,
"My Life, Your Edutainment",25011698,"Seattle, WA",2023-01-21 20:14:07,With no way to get rid of a MASSIVE amount of pent-up frustration with hiding and collecting everyone else's stress… https://t.co/D9qV2gnIjh,0,Twitter for Android,
Jer Schmidt,3069114128,"Seattle, WA",2023-01-21 20:13:34,Workspace is such a big one for me. I commute &gt;30mins out of the city to a business park where I still have to shar… https://t.co/5z6vpj6qzz,0,Twitter for iPhone,
Jer Schmidt,3069114128,"Seattle, WA",2023-01-21 20:13:34,Workshop space: Why isn’t there more rentable workshop space within urban centers? There’s no reason this shouldn’t… https://t.co/XsAx1K2Zlr,0,Twitter for iPhone,
